,DE4_amount_transaction,DE6_amount_cardholder_billing,amount_local,amount_tx_currency,amount_usd,DE9_conversion_rate_billing,client_baseline_amount,distance_from_home_km,hour_local,client_segment,channel,card_brand,DE2_PAN,DE3_processing_code,DE13_local_date,DE14_expiration_date,DE15_settlement_date,DE18_merchant_category_code,DE19_acquirer_country_code,DE22_pos_entry_mode,DE23_card_seq_number,DE25_pos_condition_code,DE39_response_code,DE49_currency_code_transaction,DE52_pin_data_present,DE55_emv_data_present,DE60_pos_terminal_type,DE61_pos_extended_data,DE123_pos_data_code,currency_tx_alpha,is_international,day_of_week,approved,client_home_city,is_fraud
42284,91783.0,91783.0,917.83,917.83,133.02,10000000.0,645.38,984.0,22.0,PRIVATE,ECOM,MASTERCARD,5312700000000000.0,0,317,2407,318.0,5732,68,81,1.0,59,54,68,N,N,ECOM-VIRTUAL,59.0,08159N,BOB,False,Mon,False,TARIJA,0.0
47632,980243.0,980243.0,9802.43,9802.43,1420.64,10000000.0,1483.05,6.2,15.0,BLACK,ECOM,MASTERCARD,5312700000000000.0,0,327,2704,328.0,7011,68,81,2.0,59,0,68,N,N,ECOM-VIRTUAL,59.0,08159N,BOB,False,Thu,True,ORURO,0.0
83516,67104.0,67104.0,671.04,671.04,97.25,10000000.0,1094.5,257.0,9.0,PLATINUM,POS,VISA,4795010000000000.0,0,531,2805,601.0,5541,68,51,3.0,0,0,68,Y,Y,POS-ATTENDED,0.0,05100Y,BOB,False,Sat,True,TARIJA,0.0
24506,420657.0,420657.0,4206.57,4206.57,609.65,10000000.0,825.56,356.0,18.0,PRIVATE,ECOM,MASTERCARD,5312710000000000.0,0,213,2711,214.0,7011,68,81,3.0,59,0,68,N,N,ECOM-VIRTUAL,59.0,08159N,BOB,False,Thu,True,SANTACRUZ,0.0
85108,78854.0,598505.0,5985.05,788.54,867.4,75900398.0,1270.28,7143.0,8.0,PRIVATE,ECOM,MASTERCARD,5312700000000000.0,0,603,2611,604.0,7011,380,81,2.0,59,0,978,N,N,ECOM-VIRTUAL,59.0,08159N,EUR,True,Tue,True,SUCRE,0.0
48787,2053963.0,2053963.0,20539.63,20539.63,2976.76,10000000.0,2448.19,16.1,15.0,BLACK,ECOM,MASTERCARD,5312700000000000.0,0,329,2709,330.0,4511,68,81,1.0,59,0,68,N,N,ECOM-VIRTUAL,59.0,08159N,BOB,False,Sat,True,POTOSI,0.0
96426,40342.0,40342.0,403.42,403.42,58.47,10000000.0,908.89,834.0,10.0,BLACK,POS,MASTERCARD,5312710000000000.0,0,623,2610,624.0,5999,68,51,3.0,0,0,68,Y,Y,POS-ATTENDED,0.0,05100Y,BOB,False,Mon,True,COCHABAMBA,0.0
32003,14536.0,14536.0,145.36,145.36,21.07,10000000.0,1775.45,1.6,8.0,PRIVATE,ECOM,MASTERCARD,5312700000000000.0,0,227,2911,228.0,4816,68,81,2.0,59,0,68,N,N,ECOM-VIRTUAL,59.0,08159N,BOB,False,Thu,True,COCHABAMBA,0.0
11383,133559.0,133559.0,1335.59,1335.59,193.56,10000000.0,1901.96,0.6,10.0,PRIVATE,ECOM,VISA,4795000000000000.0,0,121,2501,122.0,5969,68,81,1.0,59,0,68,N,N,ECOM-VIRTUAL,59.0,08159N,BOB,False,Tue,True,POTOSI,0.0
269,58740.0,58740.0,587.4,587.4,85.13,10000000.0,2258.16,19.5,9.0,BLACK,ECOM,VISA,4795010000000000.0,0,101,2608,102.0,5969,68,81,2.0,59,0,68,N,N,ECOM-VIRTUAL,59.0,08159N,BOB,False,Wed,True,SUCRE,0.0
89535,4507.0,34206.0,342.06,45.07,49.57,75895274.0,800.42,2143.0,4.0,BLACK,POS,VISA,4795010000000000.0,0,611,2503,612.0,5812,724,51,1.0,0,54,978,Y,Y,POS-ATTENDED,0.0,05100Y,EUR,True,Wed,False,ORURO,0.0
68092,864469.0,864469.0,8644.69,8644.69,1252.85,10000000.0,1642.28,13.2,11.0,PRIVATE,ECOM,VISA,4212510000000000.0,0,503,2910,504.0,4511,68,81,1.0,59,0,68,N,N,ECOM-VIRTUAL,59.0,08159N,BOB,False,Sat,True,ELALTO,0.0
